participante,idioma,estado,atenção,motivo de exclusão,código do item,classificação,ordem,estímulo,época,condição,modelo,tempo da resposta (s),mediana do item (s),ritmo relativo,ritmo demasiado rápido
P038,Português,concluído,Sim,,s08__E4__baseline,4,24,s08,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,17,15,1.133,Não
P038,Português,concluído,Sim,,s12__E3__pipeline,5,25,s12,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,31,19,1.632,Não
P038,Português,concluído,Sim,,s06__E4__pipeline,4,26,s06,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,10,13,0.769,Não
P038,Português,concluído,Sim,,s09__E3__pipeline,6,27,s09,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,16,17,0.941,Não
P038,Português,concluído,Sim,,s06__E2__pipeline,1,28,s06,E2,pipeline,facebook/blenderbot-400M-distill,7,15,0.467,Não
P038,Português,concluído,Sim,,s10__E1__pipeline,1,29,s10,E1,pipeline,microsoft/DialoGPT-medium,5,10,0.500,Não
P038,Português,concluído,Sim,,s07__E1__baseline,1,30,s07,E1,linha de base,microsoft/DialoGPT-medium,6,11,0.545,Não
P038,Português,concluído,Sim,,s09__E1__pipeline,1,31,s09,E1,pipeline,microsoft/DialoGPT-medium,6,12,0.500,Não
P038,Português,concluído,Sim,,s03__E2__baseline,2,32,s03,E2,linha de base,facebook/blenderbot-400M-distill,7,13,0.538,Não
P038,Português,concluído,Sim,,s06__E4__baseline,5,33,s06,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,184,20,9.200,Não
P038,Português,concluído,Sim,,s01__E3__pipeline,6,34,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,10,19.5,0.513,Não
P038,Português,concluído,Sim,,s01__E2__pipeline,3,35,s01,E2,pipeline,facebook/blenderbot-400M-distill,6,11.5,0.522,Não
P038,Português,concluído,Sim,,s10__E2__pipeline,4,36,s10,E2,pipeline,facebook/blenderbot-400M-distill,12,11.5,1.043,Não
P038,Português,concluído,Sim,,s02__E2__pipeline,2,37,s02,E2,pipeline,facebook/blenderbot-400M-distill,6,13,0.462,Não
P038,Português,concluído,Sim,,s08__E3__baseline,6,38,s08,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,14,15,0.933,Não
P038,Português,concluído,Sim,,s01__E4__pipeline,4,39,s01,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,11,25,0.440,Não
P038,Português,concluído,Sim,,s11__E2__pipeline,3,40,s11,E2,pipeline,facebook/blenderbot-400M-distill,7,16,0.438,Não
P038,Português,concluído,Sim,,s11__E1__baseline,1,41,s11,E1,linha de base,microsoft/DialoGPT-medium,5,9,0.556,Não
P038,Português,concluído,Sim,,s06__E1__baseline,1,42,s06,E1,linha de base,microsoft/DialoGPT-medium,19,16,1.188,Não
P038,Português,concluído,Sim,,s10__E4__pipeline,2,43,s10,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,13,18,0.722,Não
P038,Português,concluído,Sim,,s11__E3__pipeline,5,44,s11,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,10,19,0.526,Não
P038,Português,concluído,Sim,,s09__E2__pipeline,3,45,s09,E2,pipeline,facebook/blenderbot-400M-distill,7,16,0.438,Não
P039,Português,concluído,Sim,,s02__E3__baseline,7,1,s02,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,,22,,Não
P039,Português,concluído,Sim,,s09__E1__baseline,5,2,s09,E1,linha de base,microsoft/DialoGPT-medium,50,11,4.545,Não
P039,Português,concluído,Sim,,s03__E2__pipeline,4,3,s03,E2,pipeline,facebook/blenderbot-400M-distill,31,14.5,2.138,Não
P039,Português,concluído,Sim,,s06__E4__pipeline,7,4,s06,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,89,13,6.846,Não
P039,Português,concluído,Sim,,s12__E4__pipeline,7,5,s12,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,15,13,1.154,Não
P039,Português,concluído,Sim,,s10__E1__baseline,7,6,s10,E1,linha de base,microsoft/DialoGPT-medium,71,14,5.071,Não
P039,Português,concluído,Sim,,s02__E2__baseline,5,7,s02,E2,linha de base,facebook/blenderbot-400M-distill,20,15,1.333,Não
P039,Português,concluído,Sim,,s01__E3__baseline,7,8,s01,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,101,19,5.316,Não
P039,Português,concluído,Sim,,s09__E2__baseline,6,9,s09,E2,linha de base,facebook/blenderbot-400M-distill,70,13.5,5.185,Não
P039,Português,concluído,Sim,,s05__E4__baseline,7,10,s05,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,46,13.5,3.407,Não
P039,Português,concluído,Sim,,s01__E2__pipeline,5,11,s01,E2,pipeline,facebook/blenderbot-400M-distill,50,11.5,4.348,Não
P039,Português,concluído,Sim,,s05__E1__pipeline,1,12,s05,E1,pipeline,microsoft/DialoGPT-medium,33,13.5,2.444,Não
P039,Português,concluído,Sim,,s12__E3__baseline,6,13,s12,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,27,21,1.286,Não
P039,Português,concluído,Sim,,s03__E3__baseline,7,14,s03,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,34,17,2.000,Não
P039,Português,concluído,Sim,,s07__E4__pipeline,6,15,s07,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,40,18,2.222,Não
P039,Português,concluído,Sim,,s06__E1__pipeline,1,16,s06,E1,pipeline,microsoft/DialoGPT-medium,24,10,2.400,Não
P039,Português,concluído,Sim,,s09__E4__pipeline,5,17,s09,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,174,20,8.700,Não
P039,Português,concluído,Sim,,s06__E3__baseline,5,18,s06,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,90,18,5.000,Não
P039,Português,concluído,Sim,,s05__E3__pipeline,7,19,s05,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,31,18,1.722,Não
P039,Português,concluído,Sim,,s01__E2__baseline,7,20,s01,E2,linha de base,facebook/blenderbot-400M-distill,69,14,4.929,Não
P039,Português,concluído,Sim,,s08__E3__baseline,6,21,s08,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,46,15,3.067,Não
P039,Português,concluído,Sim,,s08__E1__baseline,1,22,s08,E1,linha de base,microsoft/DialoGPT-medium,12,6,2.000,Não
P039,Português,concluído,Sim,,s03__E1__pipeline,1,23,s03,E1,pipeline,microsoft/DialoGPT-medium,23,11,2.091,Não
P039,Português,concluído,Sim,,s12__E1__pipeline,1,24,s12,E1,pipeline,microsoft/DialoGPT-medium,9,12,0.750,Não
P039,Português,concluído,Sim,,s05__E2__pipeline,2,25,s05,E2,pipeline,facebook/blenderbot-400M-distill,,15,,Não
P039,Português,concluído,Sim,,s02__E4__pipeline,4,26,s02,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,22,15,1.467,Não
P039,Português,concluído,Sim,,s04__E2__pipeline,5,27,s04,E2,pipeline,facebook/blenderbot-400M-distill,31,14,2.214,Não
P039,Português,concluído,Sim,,s05__E4__pipeline,7,28,s05,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,15,14,1.071,Não
P039,Português,concluído,Sim,,s11__E1__pipeline,1,29,s11,E1,pipeline,microsoft/DialoGPT-medium,16,10,1.600,Não
P039,Português,concluído,Sim,,s04__E1__pipeline,1,30,s04,E1,pipeline,microsoft/DialoGPT-medium,13,13,1.000,Não
P039,Português,concluído,Sim,,s07__E2__pipeline,3,31,s07,E2,pipeline,facebook/blenderbot-400M-distill,468,20,23.400,Não
P040,Português,concluído,Sim,,s10__E3__pipeline,7,1,s10,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,,20,,Não
P040,Português,concluído,Sim,,s03__E4__baseline,4,2,s03,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,5,13,0.385,Não
P040,Português,concluído,Sim,,s09__E3__baseline,6,3,s09,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,33,26.5,1.245,Não
P040,Português,concluído,Sim,,s04__E3__pipeline,6,4,s04,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,16,17,0.941,Não
P040,Português,concluído,Sim,,s06__E1__baseline,6,5,s06,E1,linha de base,microsoft/DialoGPT-medium,13,16,0.813,Não
P040,Português,concluído,Sim,,s07__E2__baseline,6,6,s07,E2,linha de base,facebook/blenderbot-400M-distill,17,15,1.133,Não
P040,Português,concluído,Sim,,s06__E3__pipeline,7,7,s06,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,19,18,1.056,Não
P040,Português,concluído,Sim,,s12__E4__baseline,5,8,s12,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,14,20,0.700,Não
P040,Português,concluído,Sim,,s11__E4__pipeline,4,9,s11,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,12,14.5,0.828,Não
P040,Português,concluído,Sim,,s08__E2__baseline,5,10,s08,E2,linha de base,facebook/blenderbot-400M-distill,10,14,0.714,Não
P040,Português,concluído,Sim,,s02__E4__baseline,5,11,s02,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,13,15,0.867,Não
P040,Português,concluído,Sim,,s05__E2__baseline,3,12,s05,E2,linha de base,facebook/blenderbot-400M-distill,11,16,0.688,Não
P040,Português,concluído,Sim,,s04__E3__baseline,6,13,s04,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,12,17,0.706,Não
P040,Português,concluído,Sim,,s01__E3__pipeline,7,14,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,19,19.5,0.974,Não
P040,Português,concluído,Sim,,s07__E3__baseline,7,15,s07,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,20,24,0.833,Não
P040,Português,concluído,Sim,,s07__E3__pipeline,6,16,s07,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,16,16.5,0.970,Não
P040,Português,concluído,Sim,,s09__E1__pipeline,1,17,s09,E1,pipeline,microsoft/DialoGPT-medium,19,12,1.583,Não
P040,Português,concluído,Sim,,s03__E3__pipeline,5,18,s03,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,19,15,1.267,Não
P040,Português,concluído,Sim,,s11__E2__pipeline,4,19,s11,E2,pipeline,facebook/blenderbot-400M-distill,7,16,0.438,Não
P040,Português,concluído,Sim,,s10__E4__baseline,5,20,s10,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,12,13,0.923,Não
P040,Português,concluído,Sim,,s11__E3__baseline,5,21,s11,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,15,20,0.750,Não
P040,Português,concluído,Sim,,s03__E2__baseline,4,22,s03,E2,linha de base,facebook/blenderbot-400M-distill,8,13,0.615,Não
P040,Português,concluído,Sim,,s10__E2__pipeline,6,23,s10,E2,pipeline,facebook/blenderbot-400M-distill,9,11.5,0.783,Não
P040,Português,concluído,Sim,,s09__E2__pipeline,4,24,s09,E2,pipeline,facebook/blenderbot-400M-distill,9,16,0.563,Não
P041,Inglês,concluído,Sim,,s02__E1__pipeline,2,1,s02,E1,pipeline,microsoft/DialoGPT-medium,,10,,Não
P041,Inglês,concluído,Sim,,s04__E4__pipeline,6,2,s04,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,40,17.5,2.286,Não
P041,Inglês,concluído,Sim,,s09__E3__pipeline,7,3,s09,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,20,17,1.176,Não
P041,Inglês,concluído,Sim,,s06__E2__baseline,2,4,s06,E2,linha de base,facebook/blenderbot-400M-distill,30,14,2.143,Não
P041,Inglês,concluído,Sim,,s06__E2__pipeline,2,5,s06,E2,pipeline,facebook/blenderbot-400M-distill,27,15,1.800,Não
P041,Inglês,concluído,Sim,,s07__E1__baseline,1,6,s07,E1,linha de base,microsoft/DialoGPT-medium,15,11,1.364,Não
P041,Inglês,concluído,Sim,,s04__E2__pipeline,6,7,s04,E2,pipeline,facebook/blenderbot-400M-distill,14,14,1.000,Não
P041,Inglês,concluído,Sim,,s02__E3__pipeline,7,8,s02,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,25,25.5,0.980,Não
P041,Inglês,concluído,Sim,,s12__E1__baseline,1,9,s12,E1,linha de base,microsoft/DialoGPT-medium,10,10,1.000,Não
P041,Inglês,concluído,Sim,,s12__E2__pipeline,3,10,s12,E2,pipeline,facebook/blenderbot-400M-distill,61,20,3.050,Não
P041,Inglês,concluído,Sim,,s03__E1__baseline,1,11,s03,E1,linha de base,microsoft/DialoGPT-medium,10,14,0.714,Não
P041,Inglês,concluído,Sim,,s05__E2__pipeline,2,12,s05,E2,pipeline,facebook/blenderbot-400M-distill,13,15,0.867,Não
P041,Inglês,concluído,Sim,,s11__E2__baseline,3,13,s11,E2,linha de base,facebook/blenderbot-400M-distill,23,16,1.438,Não
P041,Inglês,concluído,Sim,,s02__E4__pipeline,6,14,s02,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,35,15,2.333,Não
P041,Inglês,concluído,Sim,,s08__E1__pipeline,1,15,s08,E1,pipeline,microsoft/DialoGPT-medium,9,10,0.900,Não
P041,Inglês,concluído,Sim,,s12__E2__baseline,2,16,s12,E2,linha de base,facebook/blenderbot-400M-distill,14,20.5,0.683,Não
P041,Inglês,concluído,Sim,,s08__E3__pipeline,7,17,s08,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,20,21.5,0.930,Não
P041,Inglês,concluído,Sim,,s01__E1__baseline,1,18,s01,E1,linha de base,microsoft/DialoGPT-medium,11,8,1.375,Não
P041,Inglês,concluído,Sim,,s07__E1__pipeline,1,19,s07,E1,pipeline,microsoft/DialoGPT-medium,11,12,0.917,Não
P041,Inglês,concluído,Sim,,s08__E2__pipeline,2,20,s08,E2,pipeline,facebook/blenderbot-400M-distill,21,14,1.500,Não
P041,Inglês,concluído,Sim,,s02__E2__pipeline,1,21,s02,E2,pipeline,facebook/blenderbot-400M-distill,18,13,1.385,Não
P041,Inglês,concluído,Sim,,s04__E2__baseline,2,22,s04,E2,linha de base,facebook/blenderbot-400M-distill,8,13,0.615,Não
P041,Inglês,concluído,Sim,,s11__E1__baseline,1,23,s11,E1,linha de base,microsoft/DialoGPT-medium,7,9,0.778,Não
P041,Inglês,concluído,Sim,,s12__E3__pipeline,5,24,s12,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,41,19,2.158,Não
P041,Inglês,concluído,Sim,,s08__E4__pipeline,6,25,s08,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,38,19.5,1.949,Não
P041,Inglês,concluído,Sim,,s08__E4__baseline,6,26,s08,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,12,15,0.800,Não
P041,Inglês,concluído,Sim,,s04__E3__baseline,7,27,s04,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,125,17,7.353,Não
P041,Inglês,concluído,Sim,,s10__E3__baseline,7,28,s10,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,33,19,1.737,Não
P041,Inglês,concluído,Sim,,s08__E3__baseline,7,29,s08,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,19,15,1.267,Não
P041,Inglês,concluído,Sim,,s10__E4__pipeline,3,30,s10,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,17,18,0.944,Não
P041,Inglês,concluído,Sim,,s04__E3__pipeline,7,31,s04,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,20,17,1.176,Não
P041,Inglês,concluído,Sim,,s01__E2__baseline,6,32,s01,E2,linha de base,facebook/blenderbot-400M-distill,14,14,1.000,Não
P041,Inglês,concluído,Sim,,s11__E4__pipeline,5,33,s11,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,15,14.5,1.034,Não
P041,Inglês,concluído,Sim,,s03__E2__pipeline,4,34,s03,E2,pipeline,facebook/blenderbot-400M-distill,10,14.5,0.690,Não
P041,Inglês,concluído,Sim,,s05__E3__pipeline,7,35,s05,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,43,18,2.389,Não
P041,Inglês,concluído,Sim,,s05__E4__pipeline,5,36,s05,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,14,14,1.000,Não
P041,Inglês,concluído,Sim,,s01__E3__baseline,7,37,s01,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,28,19,1.474,Não
P041,Inglês,concluído,Sim,,s11__E1__pipeline,1,38,s11,E1,pipeline,microsoft/DialoGPT-medium,12,10,1.200,Não
P041,Inglês,concluído,Sim,,s09__E1__baseline,1,39,s09,E1,linha de base,microsoft/DialoGPT-medium,17,11,1.545,Não
P041,Inglês,concluído,Sim,,s07__E4__baseline,7,40,s07,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,62,15.5,4.000,Não
P041,Inglês,concluído,Sim,,s02__E4__baseline,5,41,s02,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,11,15,0.733,Não
P041,Inglês,concluído,Sim,,s09__E2__baseline,1,42,s09,E2,linha de base,facebook/blenderbot-400M-distill,15,13.5,1.111,Não
P041,Inglês,concluído,Sim,,s06__E1__baseline,1,43,s06,E1,linha de base,microsoft/DialoGPT-medium,12,16,0.750,Não
P041,Inglês,concluído,Sim,,s01__E3__pipeline,7,44,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,13,19.5,0.667,Não
P041,Inglês,concluído,Sim,,s12__E4__pipeline,6,45,s12,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,13,13,1.000,Não
P041,Inglês,concluído,Sim,,s01__E4__baseline,6,46,s01,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,126,15.5,8.129,Não
P041,Inglês,concluído,Sim,,s10__E4__baseline,4,47,s10,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,22,13,1.692,Não
P041,Inglês,concluído,Sim,,s05__E3__baseline,7,48,s05,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,24,24,1.000,Não
P041,Inglês,concluído,Sim,,s11__E3__pipeline,7,49,s11,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,17,19,0.895,Não
P041,Inglês,concluído,Sim,,s05__E1__pipeline,1,50,s05,E1,pipeline,microsoft/DialoGPT-medium,10,13.5,0.741,Não
P041,Inglês,concluído,Sim,,s09__E3__baseline,6,51,s09,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,46,26.5,1.736,Não
P041,Inglês,concluído,Sim,,s03__E3__baseline,6,52,s03,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,24,17,1.412,Não
P041,Inglês,concluído,Sim,,s06__E1__pipeline,1,53,s06,E1,pipeline,microsoft/DialoGPT-medium,9,10,0.900,Não
P041,Inglês,concluído,Sim,,s09__E4__baseline,6,54,s09,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,21,20,1.050,Não
P042,Português,concluído,Sim,,s04__E1__pipeline,2,1,s04,E1,pipeline,microsoft/DialoGPT-medium,,13,,Não
P042,Português,concluído,Sim,,s10__E1__pipeline,1,2,s10,E1,pipeline,microsoft/DialoGPT-medium,10,10,1.000,Não
P042,Português,concluído,Sim,,s10__E3__baseline,5,3,s10,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,15,19,0.789,Não
P042,Português,concluído,Sim,,s05__E4__pipeline,4,4,s05,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,12,14,0.857,Não
P042,Português,concluído,Sim,,s07__E4__baseline,4,5,s07,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,17,15.5,1.097,Não
P042,Português,concluído,Sim,,s10__E4__pipeline,5,6,s10,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,11,18,0.611,Não
P042,Português,concluído,Sim,,s01__E1__pipeline,1,7,s01,E1,pipeline,microsoft/DialoGPT-medium,11,17,0.647,Não
P042,Português,concluído,Sim,,s05__E3__baseline,5,8,s05,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,15,24,0.625,Não
P042,Português,concluído,Sim,,s08__E4__pipeline,5,9,s08,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,12,19.5,0.615,Não
P042,Português,concluído,Sim,,s11__E4__baseline,3,10,s11,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,8,13,0.615,Não
P042,Português,concluído,Sim,,s04__E1__baseline,1,11,s04,E1,linha de base,microsoft/DialoGPT-medium,7,8,0.875,Não
P042,Português,concluído,Sim,,s06__E4__baseline,5,12,s06,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,15,20,0.750,Não
P042,Português,concluído,Sim,,s02__E1__baseline,1,13,s02,E1,linha de base,microsoft/DialoGPT-medium,8,11,0.727,Não
P042,Português,concluído,Sim,,s08__E4__baseline,6,14,s08,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,13,15,0.867,Não
P042,Português,concluído,Sim,,s11__E1__pipeline,1,15,s11,E1,pipeline,microsoft/DialoGPT-medium,5,10,0.500,Não
P042,Português,concluído,Sim,,s07__E2__pipeline,3,16,s07,E2,pipeline,facebook/blenderbot-400M-distill,11,20,0.550,Não
P042,Português,concluído,Sim,,s09__E4__baseline,3,17,s09,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,17,20,0.850,Não
P042,Português,concluído,Sim,,s01__E4__baseline,4,18,s01,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,15,15.5,0.968,Não
P042,Português,concluído,Sim,,s01__E4__pipeline,2,19,s01,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,12,25,0.480,Não
P042,Português,concluído,Sim,,s11__E3__pipeline,5,20,s11,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,8,19,0.421,Não
P042,Português,concluído,Sim,,s03__E4__pipeline,4,21,s03,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,11,22,0.500,Não
P042,Português,concluído,Sim,,s05__E1__baseline,1,22,s05,E1,linha de base,microsoft/DialoGPT-medium,6,11,0.545,Não
P042,Português,concluído,Sim,,s04__E4__baseline,4,23,s04,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,9,15,0.600,Não
P042,Português,concluído,Sim,,s10__E2__baseline,4,24,s10,E2,linha de base,facebook/blenderbot-400M-distill,9,13.5,0.667,Não
P043,Português,concluído,Sim,,s06__E1__pipeline,6,1,s06,E1,pipeline,microsoft/DialoGPT-medium,,10,,Não
P043,Português,concluído,Sim,,s06__E2__baseline,6,2,s06,E2,linha de base,facebook/blenderbot-400M-distill,17,14,1.214,Não
P043,Português,concluído,Sim,,s07__E4__pipeline,7,3,s07,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,68,18,3.778,Não
P043,Português,concluído,Sim,,s12__E1__baseline,3,4,s12,E1,linha de base,microsoft/DialoGPT-medium,142,10,14.200,Não
P043,Português,concluído,Sim,,s05__E1__pipeline,6,5,s05,E1,pipeline,microsoft/DialoGPT-medium,34,13.5,2.519,Não
P043,Português,concluído,Sim,,s12__E1__pipeline,7,6,s12,E1,pipeline,microsoft/DialoGPT-medium,22,12,1.833,Não
P043,Português,concluído,Sim,,s07__E1__pipeline,4,7,s07,E1,pipeline,microsoft/DialoGPT-medium,34,12,2.833,Não
P043,Português,concluído,Sim,,s03__E2__pipeline,6,8,s03,E2,pipeline,facebook/blenderbot-400M-distill,35,14.5,2.414,Não
P043,Português,concluído,Sim,,s01__E3__baseline,7,9,s01,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,48,19,2.526,Não
P043,Português,concluído,Sim,,s06__E3__baseline,7,10,s06,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,57,18,3.167,Não
P043,Português,concluído,Sim,,s12__E3__pipeline,7,11,s12,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,47,19,2.474,Não
P043,Português,concluído,Sim,,s09__E4__pipeline,6,12,s09,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,64,20,3.200,Não
P043,Português,concluído,Sim,,s03__E1__baseline,1,13,s03,E1,linha de base,microsoft/DialoGPT-medium,13,14,0.929,Não
P043,Português,concluído,Sim,,s08__E3__pipeline,1,14,s08,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,,21.5,,Não
P043,Português,concluído,Sim,,s06__E2__pipeline,6,15,s06,E2,pipeline,facebook/blenderbot-400M-distill,25,15,1.667,Não
P043,Português,concluído,Sim,,s02__E3__baseline,6,16,s02,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,46,22,2.091,Não
P043,Português,concluído,Sim,,s10__E1__baseline,5,17,s10,E1,linha de base,microsoft/DialoGPT-medium,19,14,1.357,Não
P043,Português,concluído,Sim,,s01__E1__baseline,1,18,s01,E1,linha de base,microsoft/DialoGPT-medium,15,8,1.875,Não
P043,Português,concluído,Sim,,s03__E3__baseline,6,19,s03,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,43,17,2.529,Não
P043,Português,concluído,Sim,,s08__E1__pipeline,1,20,s08,E1,pipeline,microsoft/DialoGPT-medium,17,10,1.700,Não
P043,Português,concluído,Sim,,s09__E2__baseline,6,21,s09,E2,linha de base,facebook/blenderbot-400M-distill,17,13.5,1.259,Não
P043,Português,concluído,Sim,,s09__E3__pipeline,6,22,s09,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,39,17,2.294,Não
P043,Português,concluído,Sim,,s11__E2__baseline,5,23,s11,E2,linha de base,facebook/blenderbot-400M-distill,22,16,1.375,Não
P043,Português,concluído,Sim,,s04__E2__pipeline,7,24,s04,E2,pipeline,facebook/blenderbot-400M-distill,18,14,1.286,Não
P044,Português,concluído,Sim,,s07__E3__baseline,7,1,s07,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,,24,,Não
P044,Português,concluído,Sim,,s11__E2__pipeline,4,2,s11,E2,pipeline,facebook/blenderbot-400M-distill,20,16,1.250,Não
P044,Português,concluído,Sim,,s08__E4__pipeline,5,3,s08,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,12,19.5,0.615,Não
P044,Português,concluído,Sim,,s09__E3__baseline,6,4,s09,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,22,26.5,0.830,Não
P044,Português,concluído,Sim,,s01__E4__pipeline,6,5,s01,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,71,25,2.840,Não
P044,Português,concluído,Sim,,s09__E2__pipeline,5,6,s09,E2,pipeline,facebook/blenderbot-400M-distill,13,16,0.813,Não
P044,Português,concluído,Sim,,s10__E2__baseline,5,7,s10,E2,linha de base,facebook/blenderbot-400M-distill,9,13.5,0.667,Não
P044,Português,concluído,Sim,,s11__E3__pipeline,6,8,s11,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,17,19,0.895,Não
P044,Português,concluído,Sim,,s07__E2__pipeline,4,9,s07,E2,pipeline,facebook/blenderbot-400M-distill,10,20,0.500,Não
P044,Português,concluído,Sim,,s11__E1__pipeline,1,10,s11,E1,pipeline,microsoft/DialoGPT-medium,10,10,1.000,Não
P044,Português,concluído,Sim,,s10__E4__pipeline,2,11,s10,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,16,18,0.889,Não
P044,Português,concluído,Sim,,s11__E3__baseline,7,12,s11,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,16,20,0.800,Não
P044,Português,concluído,Sim,,s07__E3__pipeline,7,13,s07,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,14,16.5,0.848,Não
P044,Português,concluído,Sim,,s01__E3__pipeline,7,14,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,15,19.5,0.769,Não
P044,Português,concluído,Sim,,s01__E1__pipeline,1,15,s01,E1,pipeline,microsoft/DialoGPT-medium,8,17,0.471,Não
P044,Português,concluído,Sim,,s03__E2__baseline,2,16,s03,E2,linha de base,facebook/blenderbot-400M-distill,13,13,1.000,Não
P044,Português,concluído,Sim,,s04__E1__pipeline,1,17,s04,E1,pipeline,microsoft/DialoGPT-medium,9,13,0.692,Não
